,question_file,question_script
0,IsJennyKickingTeddy.wav,is Jenny kicking Teddy
1,IsJennyKissingDanny.wav,is Jenny kissing Danny
2,IsJennyLiftingGary.wav,is Jenny lifting Gary
3,IsJennyKickingWally.wav,is Jenny kicking Wally
4,IsJennyKickingJoey.wav,is Jenny kicking Joey
5,IsJennyKissingTommy.wav,is Jenny kissing Tommy
6,IsJennyPushingBenny.wav,is Jenny pushing Benny
7,IsJennyPushingRonnie.wav,is Jenny pushing Ronnie
8,IsJennyPokingHenry.wav,is Jenny poking Henry
9,IsMollyKissingTommy.wav,is Molly kissing Tommy
10,IsJennyPokingTimmy.wav,is Jenny poking Timmy
11,IsJennyKickingHarvey.wav,is Jenny kicking Harvey
12,IsMollyPokingTimmy.wav,is Molly poking Timmy
13,IsJennyLiftingKenny.wav,is Jenny lifting Kenny
14,IsMollyPushingBenny.wav,is Molly pushing Benny
15,IsMollyKickingJoey.wav,is Molly kicking Joey
16,IsJennyKickingJerry.wav,is Jenny kicking Jerry
17,IsJennyKissingRonnie.wav,is Jenny kissing Ronnie
18,IsJennyPokingJerry.wav,is Jenny poking Jerry
19,IsJennyPushingJerry.wav,is Jenny pushing Jerry
20,IsJennyPushingGary.wav,is Jenny pushing Gary
21,IsJennyKickingOllie.wav,is Jenny kicking Ollie
22,IsJennyKissingJohnny.wav,is Jenny kissing Johnny
23,IsJennyKissingHarvey.wav,is Jenny kissing Harvey
24,IsJennyKickingDavey.wav,is Jenny kicking Davey
25,IsJennyPushingJohnny.wav,is Jenny pushing Johnny
26,IsJennyKickingJimmy.wav,is Jenny kicking Jimmy
27,IsJennyPokingTeddy.wav,is Jenny poking Teddy
28,IsJennyPushingWally.wav,is Jenny pushing Wally
29,IsJennyKickingDanny.wav,is Jenny kicking Danny
30,IsJennyLiftingHarvey.wav,is Jenny lifting Harvey
31,IsJennyLiftingDanny.wav,is Jenny lifting Danny
32,IsJennyPushingPercy.wav,is Jenny pushing Percy
33,IsJennyPokingDavey.wav,is Jenny poking Davey
34,IsJennyPokingGary.wav,is Jenny poking Gary
35,IsJennyKissingJerry.wav,is Jenny kissing Jerry
36,IsJennyPushingSammy.wav,is Jenny pushing Sammy
37,IsJennyKickingPercy.wav,is Jenny kicking Percy
38,IsJennyLiftingJerry.wav,is Jenny lifting Jerry
