trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
54,filler_22,Patient,Lacey,Lacey,Poke,Poke,Lilly,Brandy,LaceyIsPokingLilly.png,IsLaceyPokingBrandy.wav,no Lacey is poking Lilly,is Lacey poking Brandy
69,filler_37,Patient,Freddy,Freddy,Push,Push,Vicky,Brandy,FreddyIsPushingVicky.png,IsFreddyPushingBrandy.wav,no Freddy is pushing Vicky,is Freddy pushing Brandy
48,filler_16,Patient,Percy,Percy,Push,Push,Carrie,Molly,PercyIsPushingCarrie.png,IsPercyPushingMolly.wav,no Percy is pushing Carrie,is Percy pushing Molly
55,filler_23,Patient,Kenny,Kenny,Push,Push,Nancy,Tracy,KennyIsPushingNancy.png,IsKennyPushingTracy.wav,no Kenny is pushing Nancy,is Kenny pushing Tracy
06,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Davey,KimmyIsKickingTommy.png,IsKimmyKickingDavey.wav,no Kimmy is kicking Tommy,is Kimmy kicking Davey
11,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Danny,BonnieIsKissingBenny.png,IsBonnieKissingDanny.wav,no Bonnie is kissing Benny,is Bonnie kissing Danny
19,item_03,Patient,Joey,Joey,Push,Push,Kerry,Laurie,JoeyIsPushingKerry.png,IsJoeyPushingLaurie.wav,no Joey is pushing Kerry,is Joey pushing Laurie
18,item_03,Patient,Joey,Joey,Push,Push,Kerry,Chloe,JoeyIsPushingKerry.png,IsJoeyPushingChloe.wav,no Joey is pushing Kerry,is Joey pushing Chloe
45,filler_13,Patient,Harvey,Harvey,Push,Push,Penny,Sally,HarveyIsPushingPenny.png,IsHarveyPushingSally.wav,no Harvey is pushing Penny,is Harvey pushing Sally
67,filler_35,Patient,Lilly,Lilly,Kick,Kick,Gary,Davey,LillyIsKickingGary.png,IsLillyKickingDavey.wav,no Lilly is kicking Gary,is Lilly kicking Davey
16,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
21,item_03,Patient,Joey,Joey,Push,Push,Kerry,Hailey,JoeyIsPushingKerry.png,IsJoeyPushingHailey.wav,no Joey is pushing Kerry,is Joey pushing Hailey
26,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Carrie,KellyIsPullingJudy.png,IsKellyPullingCarrie.wav,no Kelly is pulling Judy,is Kelly pulling Carrie
17,item_03,Patient,Joey,Joey,Push,Push,Kerry,Nancy,JoeyIsPushingKerry.png,IsJoeyPushingNancy.wav,no Joey is pushing Kerry,is Joey pushing Nancy
12,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Johnny,BonnieIsKissingBenny.png,IsBonnieKissingJohnny.wav,no Bonnie is kissing Benny,is Bonnie kissing Johnny
36,filler_04,Patient,Brandy,Brandy,Kiss,Kiss,Teddy,Johnny,BrandyIsKissingTeddy.png,IsBrandyKissingJohnny.wav,no Brandy is kissing Teddy,is Brandy kissing Johnny
32,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
33,filler_01,Patient,Cindy,Cindy,Pull,Pull,Kylie,Betty,CindyIsPullingKylie.png,IsCindyPullingBetty.wav,no Cindy is pulling Kylie,is Cindy pulling Betty
24,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
07,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
04,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Gary,KimmyIsKickingTommy.png,IsKimmyKickingGary.wav,no Kimmy is kicking Tommy,is Kimmy kicking Gary
53,filler_21,Patient,Johnny,Johnny,Push,Push,Tori,Chloe,JohnnyIsPushingTori.png,IsJohnnyPushingChloe.wav,no Johnny is pushing Tori,is Johnny pushing Chloe
23,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
43,filler_11,Patient,Ronnie,Ronnie,Push,Push,Chloe,Brandy,RonnieIsPushingChloe.png,IsRonniePushingBrandy.wav,no Ronnie is pushing Chloe,is Ronnie pushing Brandy
20,item_03,Patient,Joey,Joey,Push,Push,Kerry,Mandy,JoeyIsPushingKerry.png,IsJoeyPushingMandy.wav,no Joey is pushing Kerry,is Joey pushing Mandy
30,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Carrie,KellyIsPullingJudy.png,IsKellyPullingCarrie.wav,no Kelly is pulling Judy,is Kelly pulling Carrie
05,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Freddy,KimmyIsKickingTommy.png,IsKimmyKickingFreddy.wav,no Kimmy is kicking Tommy,is Kimmy kicking Freddy
28,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Chloe,KellyIsPullingJudy.png,IsKellyPullingChloe.wav,no Kelly is pulling Judy,is Kelly pulling Chloe
38,filler_06,Patient,Henry,Henry,Lift,Lift,Danny,Ronnie,HenryIsLiftingDanny.png,IsHenryLiftingRonnie.wav,no Henry is lifting Danny,is Henry lifting Ronnie
01,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Kenny,KimmyIsKickingTommy.png,IsKimmyKickingKenny.wav,no Kimmy is kicking Tommy,is Kimmy kicking Kenny
46,filler_14,Patient,Chloe,Chloe,Kick,Kick,Teddy,Gary,ChloeIsKickingTeddy.png,IsChloeKickingGary.wav,no Chloe is kicking Teddy,is Chloe kicking Gary
34,filler_02,Patient,Henry,Henry,Lift,Lift,Danny,Ollie,HenryIsLiftingDanny.png,IsHenryLiftingOllie.wav,no Henry is lifting Danny,is Henry lifting Ollie
42,filler_10,Patient,Molly,Molly,Kick,Kick,Gary,Percy,MollyIsKickingGary.png,IsMollyKickingPercy.wav,no Molly is kicking Gary,is Molly kicking Percy
40,filler_08,Patient,Mindy,Mindy,Kiss,Kiss,Percy,Danny,MindyIsKissingPercy.png,IsMindyKissingDanny.wav,no Mindy is kissing Percy,is Mindy kissing Danny
35,filler_03,Patient,Teddy,Teddy,Push,Push,Hailey,Molly,TeddyIsPushingHailey.png,IsTeddyPushingMolly.wav,no Teddy is pushing Hailey,is Teddy pushing Molly
08,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
61,filler_29,Patient,Nancy,Nancy,Kiss,Kiss,Jerry,Jimmy,NancyIsKissingJerry.png,IsNancyKissingJimmy.wav,no Nancy is kissing Jerry,is Nancy kissing Jimmy
14,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Ronnie,BonnieIsKissingBenny.png,IsBonnieKissingRonnie.wav,no Bonnie is kissing Benny,is Bonnie kissing Ronnie
58,filler_26,Patient,Ollie,Ollie,Push,Push,Jenny,Hailey,OllieIsPushingJenny.png,IsOlliePushingHailey.wav,no Ollie is pushing Jenny,is Ollie pushing Hailey
27,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Franny,KellyIsPullingJudy.png,IsKellyPullingFranny.wav,no Kelly is pulling Judy,is Kelly pulling Franny
62,filler_30,Patient,Lilly,Lilly,Pull,Pull,Jenny,Brandy,LillyIsPullingJenny.png,IsLillyPullingBrandy.wav,no Lilly is pulling Jenny,is Lilly pulling Brandy
39,filler_07,Patient,Cindy,Cindy,Pull,Pull,Lacey,Lilly,CindyIsPullingLacey.png,IsCindyPullingLilly.wav,no Cindy is pulling Lacey,is Cindy pulling Lilly
57,filler_25,Patient,Jenny,Jenny,Poke,Poke,Carlie,Mindy,JennyIsPokingCarlie.png,IsJennyPokingMindy.wav,no Jenny is poking Carlie,is Jenny poking Mindy
13,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Freddy,BonnieIsKissingBenny.png,IsBonnieKissingFreddy.wav,no Bonnie is kissing Benny,is Bonnie kissing Freddy
59,filler_27,Patient,Sally,Sally,Kick,Kick,Jerry,Harvey,SallyIsKickingJerry.png,IsSallyKickingHarvey.wav,no Sally is kicking Jerry,is Sally kicking Harvey
15,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
72,filler_40,Patient,Chloe,Chloe,Kiss,Kiss,Freddy,Sammy,ChloeIsKissingFreddy.png,IsChloeKissingSammy.wav,no Chloe is kissing Freddy,is Chloe kissing Sammy
44,filler_12,Patient,Tracy,Tracy,Pull,Pull,Franny,Cindy,TracyIsPullingFranny.png,IsTracyPullingCindy.wav,no Tracy is pulling Franny,is Tracy pulling Cindy
31,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
49,filler_17,Patient,Lacey,Lacey,Pull,Pull,Laurie,Tracy,LaceyIsPullingLaurie.png,IsLaceyPullingTracy.wav,no Lacey is pulling Laurie,is Lacey pulling Tracy
68,filler_36,Patient,Vicky,Vicky,Kiss,Kiss,Henry,Jimmy,VickyIsKissingHenry.png,IsVickyKissingJimmy.wav,no Vicky is kissing Henry,is Vicky kissing Jimmy
10,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Harvey,BonnieIsKissingBenny.png,IsBonnieKissingHarvey.wav,no Bonnie is kissing Benny,is Bonnie kissing Harvey
56,filler_24,Patient,Jenny,Jenny,Pull,Pull,Chloe,Vicky,JennyIsPullingChloe.png,IsJennyPullingVicky.wav,no Jenny is pulling Chloe,is Jenny pulling Vicky
09,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Jerry,BonnieIsKissingBenny.png,IsBonnieKissingJerry.wav,no Bonnie is kissing Benny,is Bonnie kissing Jerry
37,filler_05,Patient,Betty,Betty,Kick,Kick,Teddy,Harvey,BettyIsKickingTeddy.png,IsBettyKickingHarvey.wav,no Betty is kicking Teddy,is Betty kicking Harvey
71,filler_39,Patient,Brandy,Brandy,Kiss,Kiss,Wally,Jerry,BrandyIsKissingWally.png,IsBrandyKissingJerry.wav,no Brandy is kissing Wally,is Brandy kissing Jerry
25,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Hailey,KellyIsPullingJudy.png,IsKellyPullingHailey.wav,no Kelly is pulling Judy,is Kelly pulling Hailey
63,filler_31,Patient,Chloe,Chloe,Kick,Kick,Sammy,Henry,ChloeIsKickingSammy.png,IsChloeKickingHenry.wav,no Chloe is kicking Sammy,is Chloe kicking Henry
66,filler_34,Patient,Franny,Franny,Kick,Kick,Gary,Jerry,FrannyIsKickingGary.png,IsFrannyKickingJerry.wav,no Franny is kicking Gary,is Franny kicking Jerry
29,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Brandy,KellyIsPullingJudy.png,IsKellyPullingBrandy.wav,no Kelly is pulling Judy,is Kelly pulling Brandy
22,item_03,Patient,Joey,Joey,Push,Push,Kerry,Laurie,JoeyIsPushingKerry.png,IsJoeyPushingLaurie.wav,no Joey is pushing Kerry,is Joey pushing Laurie
41,filler_09,Patient,Nancy,Nancy,Kiss,Kiss,Gary,Ollie,NancyIsKissingGary.png,IsNancyKissingOllie.wav,no Nancy is kissing Gary,is Nancy kissing Ollie
50,filler_18,Patient,Mandy,Mandy,Poke,Poke,Molly,Lacey,MandyIsPokingMolly.png,IsMandyPokingLacey.wav,no Mandy is poking Molly,is Mandy poking Lacey
52,filler_20,Patient,Danny,Danny,Lift,Lift,Timmy,Henry,DannyIsLiftingTimmy.png,IsDannyLiftingHenry.wav,no Danny is lifting Timmy,is Danny lifting Henry
64,filler_32,Patient,Betty,Betty,Kick,Kick,Harvey,Danny,BettyIsKickingHarvey.png,IsBettyKickingDanny.wav,no Betty is kicking Harvey,is Betty kicking Danny
03,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Sammy,KimmyIsKickingTommy.png,IsKimmyKickingSammy.wav,no Kimmy is kicking Tommy,is Kimmy kicking Sammy
51,filler_19,Patient,Henry,Henry,Push,Push,Molly,Brandy,HenryIsPushingMolly.png,IsHenryPushingBrandy.wav,no Henry is pushing Molly,is Henry pushing Brandy
60,filler_28,Patient,Jenny,Jenny,Kick,Kick,Ronnie,Johnny,JennyIsKickingRonnie.png,IsJennyKickingJohnny.wav,no Jenny is kicking Ronnie,is Jenny kicking Johnny
02,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Percy,KimmyIsKickingTommy.png,IsKimmyKickingPercy.wav,no Kimmy is kicking Tommy,is Kimmy kicking Percy
70,filler_38,Patient,Sally,Sally,Kick,Kick,Timmy,Ronnie,SallyIsKickingTimmy.png,IsSallyKickingRonnie.wav,no Sally is kicking Timmy,is Sally kicking Ronnie
65,filler_33,Patient,Betty,Betty,Pull,Pull,Hailey,Carlie,BettyIsPullingHailey.png,IsBettyPullingCarlie.wav,no Betty is pulling Hailey,is Betty pulling Carlie
