trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
01,item_01,Agent,小姜,小邹,Kick,Kick,小周,小周,小姜踢了小周.png,小邹踢了小周吗.wav,不小姜踢了小周,小邹踢了小周吗
02,item_01,Agent,小姜,小邹,Kick,Kick,小周,小周,小姜踢了小周.png,小邹踢了小周吗.wav,不小姜踢了小周,小邹踢了小周吗
03,item_01,Verb,小姜,小姜,Kick,Poke,小周,小周,小姜踢了小周.png,小姜戳了小周吗.wav,不小姜踢了小周,小姜戳了小周吗
04,item_01,Verb,小姜,小姜,Kick,Poke,小周,小周,小姜踢了小周.png,小姜戳了小周吗.wav,不小姜踢了小周,小姜戳了小周吗
05,item_01,Patient,小姜,小姜,Kick,Kick,小周,小毛,小姜踢了小周.png,小姜踢了小毛吗.wav,不小姜踢了小周,小姜踢了小毛吗
06,item_01,Patient,小姜,小姜,Kick,Kick,小周,小徐,小姜踢了小周.png,小姜踢了小徐吗.wav,不小姜踢了小周,小姜踢了小徐吗
07,item_01,Control,小姜,小姜,Kick,Kick,小周,小周,小姜踢了小周.png,小姜踢了小周吗.wav,是小姜踢了小周,小姜踢了小周吗
08,item_01,Control,小姜,小姜,Kick,Kick,小周,小周,小姜踢了小周.png,小姜踢了小周吗.wav,是小姜踢了小周,小姜踢了小周吗
09,item_02,Agent,小张,小姚,Kiss,Kiss,小林,小林,小张亲了小林.png,小姚亲了小林吗.wav,不小张亲了小林,小姚亲了小林吗
10,item_02,Agent,小张,小宋,Kiss,Kiss,小林,小林,小张亲了小林.png,小宋亲了小林吗.wav,不小张亲了小林,小宋亲了小林吗
11,item_02,Verb,小张,小张,Kiss,Kick,小林,小林,小张亲了小林.png,小张踢了小林吗.wav,不小张亲了小林,小张踢了小林吗
12,item_02,Verb,小张,小张,Kiss,Poke,小林,小林,小张亲了小林.png,小张戳了小林吗.wav,不小张亲了小林,小张戳了小林吗
13,item_02,Patient,小张,小张,Kiss,Kiss,小林,小徐,小张亲了小林.png,小张亲了小徐吗.wav,不小张亲了小林,小张亲了小徐吗
14,item_02,Patient,小张,小张,Kiss,Kiss,小林,小韩,小张亲了小林.png,小张亲了小韩吗.wav,不小张亲了小林,小张亲了小韩吗
15,item_02,Control,小张,小张,Kiss,Kiss,小林,小林,小张亲了小林.png,小张亲了小林吗.wav,是小张亲了小林,小张亲了小林吗
16,item_02,Control,小张,小张,Kiss,Kiss,小林,小林,小张亲了小林.png,小张亲了小林吗.wav,是小张亲了小林,小张亲了小林吗
17,item_03,Agent,小于,小韩,Push,Push,小梁,小梁,小于推了小梁.png,小韩推了小梁吗.wav,不小于推了小梁,小韩推了小梁吗
18,item_03,Agent,小于,小徐,Push,Push,小梁,小梁,小于推了小梁.png,小徐推了小梁吗.wav,不小于推了小梁,小徐推了小梁吗
19,item_03,Verb,小于,小于,Push,Kick,小梁,小梁,小于推了小梁.png,小于踢了小梁吗.wav,不小于推了小梁,小于踢了小梁吗
20,item_03,Verb,小于,小于,Push,Pull,小梁,小梁,小于推了小梁.png,小于拉了小梁吗.wav,不小于推了小梁,小于拉了小梁吗
21,item_03,Patient,小于,小于,Push,Push,小梁,小唐,小于推了小梁.png,小于推了小唐吗.wav,不小于推了小梁,小于推了小唐吗
22,item_03,Patient,小于,小于,Push,Push,小梁,小赵,小于推了小梁.png,小于推了小赵吗.wav,不小于推了小梁,小于推了小赵吗
23,item_03,Control,小于,小于,Push,Push,小梁,小梁,小于推了小梁.png,小于推了小梁吗.wav,是小于推了小梁,小于推了小梁吗
24,item_03,Control,小于,小于,Push,Push,小梁,小梁,小于推了小梁.png,小于推了小梁吗.wav,是小于推了小梁,小于推了小梁吗
25,item_04,Agent,小白,小任,Pull,Pull,小田,小田,小白拉了小田.png,小任拉了小田吗.wav,不小白拉了小田,小任拉了小田吗
26,item_04,Agent,小白,小彭,Pull,Pull,小田,小田,小白拉了小田.png,小彭拉了小田吗.wav,不小白拉了小田,小彭拉了小田吗
27,item_04,Verb,小白,小白,Pull,Poke,小田,小田,小白拉了小田.png,小白戳了小田吗.wav,不小白拉了小田,小白戳了小田吗
28,item_04,Verb,小白,小白,Pull,Kiss,小田,小田,小白拉了小田.png,小白亲了小田吗.wav,不小白拉了小田,小白亲了小田吗
29,item_04,Patient,小白,小白,Pull,Pull,小田,小陈,小白拉了小田.png,小白拉了小陈吗.wav,不小白拉了小田,小白拉了小陈吗
30,item_04,Patient,小白,小白,Pull,Pull,小田,小潘,小白拉了小田.png,小白拉了小潘吗.wav,不小白拉了小田,小白拉了小潘吗
31,item_04,Control,小白,小白,Pull,Pull,小田,小田,小白拉了小田.png,小白拉了小田吗.wav,是小白拉了小田,小白拉了小田吗
32,item_04,Control,小白,小白,Pull,Pull,小田,小田,小白拉了小田.png,小白拉了小田吗.wav,是小白拉了小田,小白拉了小田吗
