trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
54,filler_38,Agent,Franny,Sally,Kick,Kick,Ronnie,Ronnie,FrannyIsKickingRonnie.png,IsSallyKickingRonnie.wav,no Franny is kicking Ronnie,is Sally kicking Ronnie
69,filler_53,Agent,Brandy,Carrie,Kick,Kick,Danny,Danny,BrandyIsKickingDanny.png,IsCarrieKickingDanny.wav,no Brandy is kicking Danny,is Carrie kicking Danny
48,filler_32,Agent,Carrie,Betty,Kick,Kick,Danny,Danny,CarrieIsKickingDanny.png,IsBettyKickingDanny.wav,no Carrie is kicking Danny,is Betty kicking Danny
55,filler_39,Agent,Mindy,Brandy,Kiss,Kiss,Jerry,Jerry,MindyIsKissingJerry.png,IsBrandyKissingJerry.wav,no Mindy is kissing Jerry,is Brandy kissing Jerry
06,item_02,Agent,Bonnie,Jenny,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsJennyKissingBenny.wav,no Bonnie is kissing Benny,is Jenny kissing Benny
11,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
19,filler_03,Agent,Jerry,Teddy,Push,Push,Molly,Molly,JerryIsPushingMolly.png,IsTeddyPushingMolly.wav,no Jerry is pushing Molly,is Teddy pushing Molly
18,filler_02,Agent,Kenny,Henry,Lift,Lift,Ollie,Ollie,KennyIsLiftingOllie.png,IsHenryLiftingOllie.wav,no Kenny is lifting Ollie,is Henry lifting Ollie
45,filler_29,Agent,Carrie,Nancy,Kiss,Kiss,Jimmy,Jimmy,CarrieIsKissingJimmy.png,IsNancyKissingJimmy.wav,no Carrie is kissing Jimmy,is Nancy kissing Jimmy
67,filler_51,Agent,Freddy,Kenny,Push,Push,Cindy,Cindy,FreddyIsPushingCindy.png,IsKennyPushingCindy.wav,no Freddy is pushing Cindy,is Kenny pushing Cindy
16,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
21,filler_05,Agent,Kylie,Betty,Kick,Kick,Harvey,Harvey,KylieIsKickingHarvey.png,IsBettyKickingHarvey.wav,no Kylie is kicking Harvey,is Betty kicking Harvey
26,filler_10,Agent,Vicky,Molly,Kick,Kick,Percy,Percy,VickyIsKickingPercy.png,IsMollyKickingPercy.wav,no Vicky is kicking Percy,is Molly kicking Percy
17,filler_01,Agent,Vicky,Cindy,Pull,Pull,Betty,Betty,VickyIsPullingBetty.png,IsCindyPullingBetty.wav,no Vicky is pulling Betty,is Cindy pulling Betty
12,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
36,filler_20,Agent,Davey,Danny,Lift,Lift,Henry,Henry,DaveyIsLiftingHenry.png,IsDannyLiftingHenry.wav,no Davey is lifting Henry,is Danny lifting Henry
32,filler_16,Agent,Freddy,Percy,Push,Push,Molly,Molly,FreddyIsPushingMolly.png,IsPercyPushingMolly.wav,no Freddy is pushing Molly,is Percy pushing Molly
33,filler_17,Agent,Nancy,Lacey,Pull,Pull,Tracy,Tracy,NancyIsPullingTracy.png,IsLaceyPullingTracy.wav,no Nancy is pulling Tracy,is Lacey pulling Tracy
24,filler_08,Agent,Lacey,Mindy,Kiss,Kiss,Danny,Danny,LaceyIsKissingDanny.png,IsMindyKissingDanny.wav,no Lacey is kissing Danny,is Mindy kissing Danny
07,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
04,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
53,filler_37,Agent,Ollie,Freddy,Push,Push,Brandy,Brandy,OllieIsPushingBrandy.png,IsFreddyPushingBrandy.wav,no Ollie is pushing Brandy,is Freddy pushing Brandy
