trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
54,filler_22,Control,Paula,Paula,Kick,Kick,Mario,Mario,PaulapateóaMario.png,PaulapateóaMario.wav,si Paula pateó a Mario,¿Paula pateó a Mario?
69,filler_37,Control,Nadia,Nadia,Kiss,Kiss,Edgar,Edgar,NadiabesóaEdgar.png,NadiabesóaEdgar.wav,si Nadia besó a Edgar,¿Nadia besó a Edgar?
48,filler_16,Control,Omar,Omar,Lift,Lift,Eva,Eva,OmaralzóaEva.png,OmaralzóaEva.wav,si Omar alzó a Eva,¿Omar alzó a Eva?
55,filler_23,Control,Ana,Ana,Kick,Kick,Raúl,Raúl,AnapateóaRaúl.png,AnapateóaRaúl.wav,si Ana pateó a Raúl,¿Ana pateó a Raúl?
06,item_01,Patient,Tania,Tania,Kiss,Kiss,Simón,Gabriel,TaniabesóaSimón.png,TaniabesóaGabriel.wav,no Tania besó a Simón,¿Tania besó a Gabriel?
11,item_02,Verb,Silvia,Silvia,Kick,Poke,Sergio,Sergio,SilviapateóaSergio.png,SilviatocóaSergio.wav,no Silvia pateó a Sergio,¿Silvia tocó a Sergio?
19,item_03,Verb,Salma,Salma,Poke,Kiss,Sandra,Sandra,SalmatocóaSandra.png,SalmabesóaSandra.wav,no Salma tocó a Sandra,¿Salma besó a Sandra?
18,item_03,Agent,Salma,Alba,Poke,Poke,Sandra,Sandra,SalmatocóaSandra.png,AlbatocóaSandra.wav,no Salma tocó a Sandra,¿Alba tocó a Sandra?
45,filler_13,Control,Ester,Ester,Pull,Pull,Laura,Laura,EsterhalóaLaura.png,EsterhalóaLaura.wav,si Ester haló a Laura,¿Ester haló a Laura?
67,filler_35,Control,Julia,Julia,Poke,Poke,Maite,Maite,JuliatocóaMaite.png,JuliatocóaMaite.wav,si Julia tocó a Maite,¿Julia tocó a Maite?
