participant,studyName,studyNameNah,expId,month,date,year,trialNah,trialId,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,sp,sp,1,1.000,0,1.000,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,12.146,17.922
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,NO,NO,2,0.410,0,0.410,1.0125,167.361,187.14,0.115,152.51,0.272,181.140,177.585,154.793,157.199,69.913,82.128
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,KIMMEY,KIMMEY,4,0.380,0,0.380,1.4225,217.755,237.87,0.330,198.37,0.208,--undefined--,206.442,208.130,235.282,72.880,82.325
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,IS,IS,2,0.210,0,0.210,1.8025,201.438,228.77,0,181.19,0.109,214.856,191.324,181.394,--undefined--,72.522,81.353
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,KICKING,KICKING,5,0.440,0,0.440,2.0125,175.750,216.89,0.129,141.39,0.439,--undefined--,208.818,175.873,154.666,62.509,80.204
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,TOMMY,TOMMY,4,0.550,0,0.550,2.4525,156.832,201.02,0.119,122.71,0.402,189.436,187.724,137.860,134.021,68.602,82.376
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,01,sp,sp,0,0.610,0,0.610,3.0025,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,21.465,35.971
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,sp,sp,1,0.940,0,0.940,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,14.697,26.444
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,NO,NO,2,0.370,0,0.370,0.9525,188.357,221.24,0.028,174.77,0.274,205.357,193.897,176.536,181.783,75.473,81.619
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,KIMMEY,KIMMEY,4,0.380,0,0.380,1.3225,229.915,256.11,0.310,183.91,0.008,184.938,225.048,223.355,244.341,67.861,81.309
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,IS,IS,2,0.190,0,0.190,1.7025,176.328,223.34,0,150.54,0.098,194.897,161.847,150.645,--undefined--,66.926,77.492
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,KICKING,KICKING,5,0.380,0,0.380,1.8925,155.874,195.27,0.098,136.06,0.368,195.272,171.482,153.600,143.577,60.070,73.221
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,TOMMY,TOMMY,4,0.550,0,0.550,2.2725,137.534,163.30,0.108,129.01,0.316,159.259,137.070,131.126,139.391,66.408,79.860
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,02,sp,sp,0,0.560,0,0.560,2.8225,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,20.144,30.889
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,sp,sp,1,0.870,0,0.870,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,16.983,27.874
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,NO,NO,2,0.470,0,0.470,0.8825,179.274,208.88,0.096,152.14,0.309,206.360,186.390,156.632,168.843,71.696,81.654
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,KIMMEY,KIMMEY,4,0.430,0,0.430,1.3525,203.223,231.72,0.275,74.94,0.416,222.541,211.889,223.191,172.482,71.214,79.961
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,IS,IS,2,0.190,0,0.190,1.7825,152.516,187.48,0.036,85.74,0.006,127.907,173.864,166.881,--undefined--,68.664,73.420
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,KICKING,KICKING,5,0.400,0,0.400,1.9725,178.395,220.76,0.101,143.40,0.391,220.762,208.680,171.865,154.219,61.771,80.125
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,TOMMY,TOMMY,4,0.560,0,0.560,2.3725,158.410,178.51,0.101,136.48,0.511,175.564,170.916,149.365,145.431,67.879,80.422
A16G6PPH1INQL8,prosody,study,exp8,01,25,2020,trial,03,sp,sp,0,0.500,0,0.500,2.9325,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,23.391,36.110
