,trial_id,supposed_answer_transcript,answer_files,answer_textgrid,answer_downsampled
82,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A18RDBJFY3QWZL_prosody_study_exp11_03_19_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A18RDBJFY3QWZL_prosody_study_exp11_03_19_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A18RDBJFY3QWZL_prosody_study_exp11_03_19_2020_trial_01.wav
531,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_01.wav
365,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GV0UZU0T2ORS_prosody_study_exp11_03_19_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GV0UZU0T2ORS_prosody_study_exp11_03_19_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GV0UZU0T2ORS_prosody_study_exp11_03_19_2020_trial_01.wav
9,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_01.wav
264,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_01.wav
647,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_01.wav
373,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A25QWZD2F0XSEX_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A25QWZD2F0XSEX_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A25QWZD2F0XSEX_prosody_study_exp11_03_19_2020_trial_02.wav
751,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1JJYY622DGE5L_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1JJYY622DGE5L_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1JJYY622DGE5L_prosody_study_exp11_03_19_2020_trial_02.wav
699,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/ALKGANT1CYTZ1_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/ALKGANT1CYTZ1_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/ALKGANT1CYTZ1_prosody_study_exp11_03_19_2020_trial_02.wav
702,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_02.wav
