,trial_id,supposed_answer_transcript,answer_files,answer_textgrid,answer_downsampled
865,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A2196WCNDZULFS_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A2196WCNDZULFS_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A2196WCNDZULFS_prosody_study_exp4_01_12_2020_trial_01.wav
794,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A1KFNSMZBQRK1H_prosody_study_exp4_01_11_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A1KFNSMZBQRK1H_prosody_study_exp4_01_11_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A1KFNSMZBQRK1H_prosody_study_exp4_01_11_2020_trial_01.wav
564,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A1YGF0LJJGB30G_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A1YGF0LJJGB30G_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A1YGF0LJJGB30G_prosody_study_exp4_01_12_2020_trial_01.wav
425,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A2R0YYUAWNT7UD_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A2R0YYUAWNT7UD_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A2R0YYUAWNT7UD_prosody_study_exp4_01_12_2020_trial_01.wav
402,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A3UN1F1EOHKKE6_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A3UN1F1EOHKKE6_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A3UN1F1EOHKKE6_prosody_study_exp4_01_12_2020_trial_01.wav
61,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A2GV9WSNSPX53_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A2GV9WSNSPX53_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A2GV9WSNSPX53_prosody_study_exp4_01_12_2020_trial_01.wav
715,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A383WPMTMRQEA0_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A383WPMTMRQEA0_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A383WPMTMRQEA0_prosody_study_exp4_01_12_2020_trial_01.wav
137,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A3OV174HQJIJK8_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A3OV174HQJIJK8_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A3OV174HQJIJK8_prosody_study_exp4_01_12_2020_trial_01.wav
70,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A2FCQ5K0T1PYHS_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A2FCQ5K0T1PYHS_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A2FCQ5K0T1PYHS_prosody_study_exp4_01_12_2020_trial_01.wav
480,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A2S5GPVIUV8RJI_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A2S5GPVIUV8RJI_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A2S5GPVIUV8RJI_prosody_study_exp4_01_12_2020_trial_01.wav
76,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A2DHKTD1GSBXR2_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A2DHKTD1GSBXR2_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A2DHKTD1GSBXR2_prosody_study_exp4_01_12_2020_trial_01.wav
548,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/AFIK3VBMMX6G6_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/AFIK3VBMMX6G6_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/AFIK3VBMMX6G6_prosody_study_exp4_01_12_2020_trial_01.wav
906,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/AV5FCKI1TTSKR_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/AV5FCKI1TTSKR_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/AV5FCKI1TTSKR_prosody_study_exp4_01_12_2020_trial_01.wav
596,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A1WJU1IQ3UTRC6_prosody_study_exp4_01_13_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A1WJU1IQ3UTRC6_prosody_study_exp4_01_13_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A1WJU1IQ3UTRC6_prosody_study_exp4_01_13_2020_trial_01.wav
726,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze/A1CE2XPYCDRHVZ_prosody_study_exp4_01_12_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_textgrid/A1CE2XPYCDRHVZ_prosody_study_exp4_01_12_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp4/responses_to_analyze_downsampled/A1CE2XPYCDRHVZ_prosody_study_exp4_01_12_2020_trial_01.wav
