participant,studyName,studyNameNah,expId,month,date,year,trialNah,trialId,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,sp,sp,1,0.850,0,0.850,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,29.490,44.573
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,NO,NO,2,0.310,0,0.310,0.8625,126.234,141.62,0.018,119.49,0.205,129.562,128.667,123.131,123.922,72.606,81.482
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,KIMMEY,KIMMEY,4,0.360,0,0.360,1.1725,137.386,154.09,0.088,123.52,0.336,153.891,141.459,140.459,128.953,74.554,80.554
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,IS,IS,2,0.180,0,0.180,1.5325,114.519,123.78,0,111.50,0.078,116.167,112.501,115.243,--undefined--,69.881,81.042
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,KICKING,KICKING,5,0.420,0,0.420,1.7125,109.957,124.20,0.108,101.13,0.387,124.204,116.548,110.963,104.439,66.624,76.377
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,TOMMY,TOMMY,4,0.540,0,0.540,2.1325,103.588,121.81,0.037,96.75,0.358,109.655,102.667,100.980,99.925,68.763,79.762
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,01,sp,sp,0,1.220,0,1.220,2.6725,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,27.973,40.870
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,02,sp,sp,1,0.690,0,0.690,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,30.856,48.048
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,02,NO,NO,2,0.260,0,0.260,0.7025,117.257,174.78,0.260,105.23,0.171,115.428,120.292,110.158,174.780,69.432,81.294
A11YS0T8MV3Q7C,prosody,study,exp5,01,16,2020,trial,02,KIMMEY,KIMMEY,4,0.350,0,0.350,0.9625,144.978,174.78,0.001,122.03,0.350,174.482,146.727,149.877,133.156,72.121,81.097
