,trial_id,supposed_answer_transcript,answer_files,answer_textgrid,answer_downsampled
138,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A1BHR5XQ16T7LA_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A1BHR5XQ16T7LA_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A1BHR5XQ16T7LA_prosody_study_exp10_02_18_2020_trial_01.wav
383,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A2SO6K35NMGBB7_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A2SO6K35NMGBB7_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A2SO6K35NMGBB7_prosody_study_exp10_02_18_2020_trial_01.wav
509,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A4WBW7FVQASZE_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A4WBW7FVQASZE_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A4WBW7FVQASZE_prosody_study_exp10_02_18_2020_trial_01.wav
520,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A3G55RJTW3BSGM_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A3G55RJTW3BSGM_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A3G55RJTW3BSGM_prosody_study_exp10_02_18_2020_trial_01.wav
291,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A3L2FPKRD46FRW_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A3L2FPKRD46FRW_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A3L2FPKRD46FRW_prosody_study_exp10_02_18_2020_trial_01.wav
252,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A3BFMY5OX2WMUW_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A3BFMY5OX2WMUW_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A3BFMY5OX2WMUW_prosody_study_exp10_02_18_2020_trial_01.wav
386,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A2UTDZAZV1DF0N_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A2UTDZAZV1DF0N_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A2UTDZAZV1DF0N_prosody_study_exp10_02_18_2020_trial_01.wav
239,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A2ZL51Q9XSN18A_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A2ZL51Q9XSN18A_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A2ZL51Q9XSN18A_prosody_study_exp10_02_18_2020_trial_01.wav
236,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A3N4L5F7CEY0B2_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A3N4L5F7CEY0B2_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A3N4L5F7CEY0B2_prosody_study_exp10_02_18_2020_trial_01.wav
577,1,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze/A1TYMXIYUUUL6F_prosody_study_exp10_02_18_2020_trial_01.wav,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_textgrid/A1TYMXIYUUUL6F_prosody_study_exp10_02_18_2020_trial_01.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp10/responses_to_analyze_downsampled/A1TYMXIYUUUL6F_prosody_study_exp10_02_18_2020_trial_01.wav
