participant,studyName,studyNameNah,expId,month,date,year,trialNah,trialId,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,NO,NO,2,0.060,0,0.060,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-300.000,-300.000
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,KIMMEY,KIMMEY,4,0.990,0,0.990,0.0725,82.852,91.22,0.755,76.27,0.780,--undefined--,--undefined--,84.285,82.736,-128.956,76.664
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,sp,sp,1,0.120,0,0.120,1.0625,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,60.501,72.493
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,IS,IS,2,0.350,0,0.350,1.1825,92.316,122.52,0.010,78.19,0.256,102.871,98.148,82.957,81.429,74.727,80.845
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,KICKING,KICKING,5,0.400,0,0.400,1.5325,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,61.600,73.276
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,TOMMY,TOMMY,4,0.450,0,0.450,1.9325,93.889,94.88,0.386,91.27,0.400,--undefined--,--undefined--,--undefined--,93.889,66.430,76.364
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,01,sp,sp,0,0.680,0,0.680,2.3825,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,36.153,44.988
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,sp,sp,1,0.650,0,0.650,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,11.890,62.698
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,NO,NO,2,0.230,0,0.230,0.6625,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,72.200,76.685
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,KIMMEY,KIMMEY,4,0.280,0,0.280,0.8925,89.735,94.36,0.192,82.13,0.274,--undefined--,89.952,91.913,87.477,70.415,78.233
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,IS,IS,2,0.130,0,0.130,1.1725,82.944,85.05,0.034,80.75,0.059,83.384,82.493,--undefined--,--undefined--,71.493,76.548
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,KICKING,KICKING,5,0.410,0,0.410,1.3025,90.838,115.90,0.109,76.04,0.309,--undefined--,100.830,76.041,82.578,64.516,77.742
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,TOMMY,TOMMY,4,0.430,0,0.430,1.7125,85.647,94.30,0.303,79.96,0.206,--undefined--,80.701,86.309,86.086,68.513,77.558
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,03,sp,sp,0,0.540,0,0.540,2.1425,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,42.413,52.897
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,sp,sp,1,0.790,0,0.790,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-41.731,39.273
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,NO,NO,2,0.390,0,0.390,0.8025,88.307,101.69,0.090,77.92,0.268,99.824,89.316,84.968,81.214,71.278,80.019
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,sp,sp,1,0.190,0,0.190,1.1925,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,39.907,46.705
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,KIMMEY,KIMMEY,4,0.270,0,0.270,1.3825,93.308,97.09,0.121,89.24,0.270,--undefined--,96.546,94.189,91.521,69.423,79.137
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,IS,IS,2,0.160,0,0.160,1.6525,88.034,90.29,0.061,86.53,0.033,87.726,88.505,--undefined--,--undefined--,72.250,80.036
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,KICKING,KICKING,5,0.410,0,0.410,1.8125,84.566,89.03,0.343,79.55,0.331,--undefined--,--undefined--,--undefined--,84.566,63.818,74.245
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,TOMMY,TOMMY,4,0.500,0,0.500,2.2225,80.953,80.98,0.131,80.90,0.111,80.936,80.982,--undefined--,--undefined--,66.690,76.585
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,05,sp,sp,0,0.570,0,0.570,2.7225,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,38.216,44.370
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,sp,sp,1,0.690,0,0.690,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-41.762,33.425
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,NO,NO,2,0.330,0,0.330,0.7025,77.391,79.44,0.113,75.49,0.098,--undefined--,77.391,--undefined--,--undefined--,70.811,78.749
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,KIMMEY,KIMMEY,4,0.320,0,0.320,1.0325,92.915,105.18,0.158,90.10,0.313,--undefined--,104.834,92.945,91.829,66.302,77.168
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,IS,IS,2,0.180,0,0.180,1.3525,88.895,93.34,0.048,84.04,0.098,90.380,88.565,84.866,--undefined--,71.044,77.545
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,KICKING,KICKING,5,0.410,0,0.410,1.5325,87.105,93.06,0.263,82.78,0.280,--undefined--,88.624,88.057,85.381,63.426,74.594
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,TOMMY,TOMMY,4,0.550,0,0.550,1.9425,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.274,77.062
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,06,sp,sp,0,0.750,0,0.750,2.4925,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,33.024,44.035
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,sp,sp,1,0.400,0,0.400,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,9.063,51.829
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,YES,YES,3,0.430,0,0.430,0.4125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.851,81.316
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,KIMMEY,KIMMEY,4,0.250,0,0.250,0.8425,92.845,100.48,0.068,88.69,0.117,--undefined--,93.842,92.938,91.765,72.713,78.202
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,IS,IS,2,0.130,0,0.130,1.0925,88.461,89.80,0.007,87.23,0.058,89.076,87.810,--undefined--,--undefined--,71.204,77.105
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,KICKING,KICKING,5,0.350,0,0.350,1.2225,93.684,102.80,0.148,87.91,0.338,--undefined--,102.582,--undefined--,90.347,62.311,74.045
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,TOMMY,TOMMY,4,0.470,0,0.470,1.5725,90.619,103.68,0.423,77.87,0.138,87.630,78.902,--undefined--,102.070,66.345,77.954
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,07,sp,sp,0,0.410,0,0.410,2.0425,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,38.732,47.037
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,sp,sp,1,0.280,0,0.280,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-11.055,15.588
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,YES,YES,3,0.680,0,0.680,0.2925,89.037,97.96,0.457,82.91,0.491,--undefined--,--undefined--,89.037,--undefined--,-7.840,73.303
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,KIMMEY,KIMMEY,4,0.240,0,0.240,0.9725,88.000,93.33,0.101,79.56,0.231,--undefined--,92.973,89.759,84.254,68.174,76.178
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,IS,IS,2,0.140,0,0.140,1.2125,80.966,84.53,0.003,78.60,0.049,82.448,79.295,--undefined--,--undefined--,70.316,74.920
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,KICKING,KICKING,5,0.350,0,0.350,1.3525,82.436,88.54,0.111,76.28,0.272,--undefined--,84.407,82.000,81.342,63.457,79.181
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,TOMMY,TOMMY,4,0.450,0,0.450,1.7025,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,65.476,76.138
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,08,sp,sp,0,0.490,0,0.490,2.1525,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,37.852,44.570
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,sp,sp,1,0.550,0,0.550,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-49.715,37.127
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,NO,NO,2,0.290,0,0.290,0.5625,80.726,94.75,0.060,75.77,0.230,91.826,80.821,78.058,75.846,50.188,73.528
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,BONNIE,BONNIE,4,0.350,0,0.350,0.8525,82.419,93.19,0.320,74.11,0.305,--undefined--,81.973,82.888,82.343,71.495,81.627
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,IS,IS,2,0.180,0,0.180,1.2025,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,71.524,77.445
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,KISSING,KISSING,5,0.360,0,0.360,1.3825,84.639,90.31,0.350,79.35,0.338,82.902,84.653,--undefined--,84.850,67.844,75.344
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,BENNY,BENNY,4,0.390,0,0.390,1.7425,234.491,235.12,0.090,233.98,0.103,234.878,234.215,--undefined--,--undefined--,65.591,77.620
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,10,sp,sp,0,0.930,0,0.930,2.1325,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-38.686,48.629
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,11,sp,sp,1,0.730,0,0.730,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-154.202,29.066
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,11,NO,NO,2,0.360,0,0.360,0.7425,83.255,94.63,0.035,75.04,0.156,91.168,80.495,80.980,78.331,69.958,77.017
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,11,sp,sp,1,0.030,0,0.030,1.1025,122.260,123.02,0.021,120.64,0.030,--undefined--,--undefined--,122.984,121.645,51.680,53.620
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,11,BONNIE,BONNIE,4,0.460,0,0.460,1.1325,84.376,120.64,0,75.06,0.311,120.361,84.836,80.893,88.017,68.516,81.525
A1AYYDLZ60894L,prosody,study,exp7,01,20,2020,trial,11,IS,IS,2,0.190,0,0.190,1.5925,81.751,83.92,0.011,80.23,0.034,82.335,80.908,--undefined--,--undefined--,70.101,77.512
