participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
IsBonnieKissingFreddy,BENNY,BENNY,4,0.319,0,0.319,1.34943310658,155.430,248.05,0.266,106.44,0.098,113.636,111.543,166.862,239.136,63.372,74.050
IsBonnieKissingFreddy,sp,sp,0,0.229,0,0.229,1.66870748299,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,19.458,27.799
IsBonnieKissingRonnie,sp,sp,1,0.439,0,0.439,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,11.460,21.568
IsBonnieKissingRonnie,IS,IS,2,0.130,0,0.130,0.451473922902,138.699,154.86,0.032,128.63,0.121,154.850,145.127,135.861,132.375,52.036,59.232
IsBonnieKissingRonnie,BONNIE,BONNIE,4,0.339,0,0.339,0.581179138322,147.749,185.99,0.332,124.98,0.051,127.918,132.133,149.958,177.630,64.388,73.308
IsBonnieKissingRonnie,KISSING,KISSING,5,0.389,0,0.389,0.920408163265,181.133,225.76,0.243,128.35,0.389,--undefined--,192.461,203.770,159.291,57.963,71.348
IsBonnieKissingRonnie,BENNY,BENNY,4,0.349,0,0.349,1.30952380952,161.486,250.75,0.275,120.37,0.086,123.888,128.017,189.470,241.537,61.637,69.977
IsBonnieKissingRonnie,sp,sp,0,0.050,0,0.050,1.65873015873,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,25.453,26.730
IsBonnieLiftingBenny,sp,sp,1,0.439,0,0.439,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,6.387,7.647
IsBonnieLiftingBenny,IS,IS,2,0.249,0,0.249,0.451473922902,146.181,166.25,0.058,129.41,0.124,164.414,143.394,130.590,--undefined--,44.179,64.760
IsBonnieLiftingBenny,BONNIE,BONNIE,4,0.389,0,0.389,0.700907029478,144.784,167.25,0.305,124.43,0.125,132.270,127.260,154.439,155.512,61.111,74.461
IsBonnieLiftingBenny,KISSING,KISSING,5,0.359,0,0.359,1.09002267574,156.547,198.42,0.201,124.21,0.321,154.168,162.931,173.475,137.639,53.889,68.525
IsBonnieLiftingBenny,BENNY,BENNY,4,0.349,0,0.349,1.44920634921,147.055,230.53,0.302,100.77,0.082,101.046,107.198,152.822,224.257,58.255,70.758
IsBonnieLiftingBenny,sp,sp,0,0.239,0,0.239,1.79841269841,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,14.968,23.980
IsBrandyKissingJohnny,sp,sp,1,0.399,0,0.399,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,10.088,12.408
IsBrandyKissingJohnny,IS,IS,2,0.140,0,0.140,0.41156462585,127.070,152.56,0.032,119.55,0.107,151.640,132.804,122.775,119.951,50.466,60.816
IsBrandyKissingJohnny,BRANDY,BRANDY,6,0.329,0,0.329,0.551247165533,150.372,186.99,0.297,114.52,0.032,117.138,135.342,151.206,180.899,65.429,76.814
IsBrandyKissingJohnny,KISSING,KISSING,5,0.359,0,0.359,0.880498866213,184.460,221.13,0.253,151.46,0.359,185.845,185.576,203.672,177.072,57.190,69.402
IsBrandyKissingJohnny,JOHNNY,JOHNNY,4,0.359,0,0.359,1.23968253968,165.595,244.41,0.319,125.64,0.153,150.728,129.433,151.153,226.575,64.500,72.669
IsBrandyKissingJohnny,sp,sp,0,0.110,0,0.110,1.59886621315,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,26.644,36.797
IsBrandyKissingSammy,sp,sp,1,0.589,0,0.589,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,6.828,24.285
IsBrandyKissingSammy,IS,IS,2,0.190,0,0.190,0.601133786848,130.601,138.62,0.079,119.35,0.172,--undefined--,137.539,129.702,126.046,55.588,65.368
IsBrandyKissingSammy,BRANDY,BRANDY,6,0.449,0,0.449,0.790702947846,147.318,179.57,0.433,123.20,0.003,123.532,131.682,137.488,173.455,58.358,70.356
IsBrandyKissingSammy,KICKING,KICKING,5,0.339,0,0.339,1.23968253968,188.626,230.21,0.254,174.20,0.332,--undefined--,188.172,199.496,187.159,56.359,73.163
IsBrandyKissingSammy,SAMMY,SAMMY,4,0.469,0,0.469,1.57891156463,153.654,249.87,0.397,105.45,0.211,177.069,108.974,146.119,230.147,56.875,68.420
IsBrandyKissingSammy,sp,sp,0,0.239,0,0.239,2.04784580499,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,15.299,22.249
IsCarlieKickingTommy,sp,sp,1,0.419,0,0.419,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,10.537,22.346
IsCarlieKickingTommy,IS,IS,2,0.120,0,0.120,0.431519274376,137.256,143.39,0.011,128.79,0.041,141.261,131.317,--undefined--,--undefined--,49.243,54.640
IsCarlieKickingTommy,KICKING,KICKING,5,0.639,0,0.639,0.551247165533,176.105,216.01,0.421,136.28,0.144,138.746,159.935,192.279,195.672,60.179,73.094
IsCarlieKickingTommy,TOMMY,TOMMY,4,0.399,0,0.399,1.18979591837,172.574,247.82,0.343,125.25,0.153,179.251,128.247,166.967,232.950,58.548,70.273
IsCarlieKickingTommy,sp,sp,0,0.469,0,0.469,1.58888888889,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,14.740,24.261
IsChloeKickingJerry,sp,sp,1,0.339,0,0.339,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,7.934,21.981
IsChloeKickingJerry,IS,IS,2,0.140,0,0.140,0.351700680272,168.579,195.71,0.032,127.08,0.080,194.277,194.879,129.736,--undefined--,58.824,68.219
IsChloeKickingJerry,CHLOE,CHLOE,4,0.359,0,0.359,0.491383219955,159.542,188.05,0.359,137.50,0.180,--undefined--,145.555,148.790,178.784,63.422,76.406
IsChloeKickingJerry,KICKING,KICKING,5,0.379,0,0.379,0.850566893424,186.357,211.53,0.251,165.07,0.151,188.468,182.290,197.566,183.823,54.273,68.005
IsChloeKickingJerry,JERRY,JERRY,4,0.389,0,0.389,1.22970521542,149.648,237.55,0.320,107.68,0.161,142.369,111.009,149.797,230.720,61.403,69.305
IsChloeKickingJerry,sp,sp,0,0.210,0,0.210,1.61882086168,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,15.578,23.047
IsChloeKickingRonnie,sp,sp,1,0.409,0,0.409,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,10.769,14.173
IsChloeKickingRonnie,IS,IS,2,0.150,0,0.150,0.421541950113,138.792,155.32,0.032,130.13,0.093,154.400,141.085,130.728,--undefined--,50.475,60.660
IsChloeKickingRonnie,CHLOE,CHLOE,4,0.359,0,0.359,0.571201814059,160.317,195.10,0.333,136.23,0.193,--undefined--,141.345,143.090,184.459,60.116,72.694
IsChloeKickingRonnie,KICKING,KICKING,5,0.339,0,0.339,0.930385487528,193.476,215.61,0.213,160.53,0.339,193.829,190.179,204.475,189.131,58.822,72.815
IsChloeKickingRonnie,RONNIE,RONNIE,4,0.389,0,0.389,1.26961451247,161.848,260.43,0.333,121.41,0.139,136.312,125.534,178.906,255.308,60.603,69.400
IsChloeKickingRonnie,sp,sp,0,0.190,0,0.190,1.65873015873,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,19.627,21.720
IsChloeKickingTommy,sp,sp,1,0.269,0,0.269,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,8.250,10.614
IsChloeKickingTommy,IS,IS,2,0.110,0,0.110,0.281859410431,133.729,137.69,0.043,127.19,0.073,--undefined--,136.814,131.437,--undefined--,54.188,62.107
IsChloeKickingTommy,sp,sp,1,0.020,0,0.020,0.391609977324,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,50.476,53.235
IsChloeKickingTommy,KICKING,KICKING,5,0.708,0,0.708,0.41156462585,167.823,206.60,0.473,131.28,0.198,138.994,151.673,182.442,188.210,57.543,71.747
IsChloeKickingTommy,TOMMY,TOMMY,4,0.429,0,0.429,1.11995464853,137.222,206.16,0.385,96.76,0.232,182.518,111.971,115.625,182.998,54.057,63.236
IsChloeKickingTommy,sp,sp,0,0.319,0,0.319,1.54897959184,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,15.409,25.240
IsChloeKissingKenny,sp,sp,1,0.200,0,0.200,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,7.446,9.120
IsChloeKissingKenny,IS,IS,2,0.160,0,0.160,0.21201814059,132.911,142.27,0.070,124.26,0.110,--undefined--,142.129,128.947,--undefined--,52.313,63.835
IsChloeKissingKenny,CHLOE,CHLOE,4,0.379,0,0.379,0.371655328798,146.263,190.56,0.368,117.93,0.212,--undefined--,126.711,127.408,174.280,59.973,74.337
IsChloeKissingKenny,KISSING,KISSING,5,0.329,0,0.329,0.750793650794,175.461,216.91,0.111,161.77,0.319,187.966,187.694,171.494,168.285,57.262,68.787
IsChloeKissingKenny,KENNY,KENNY,4,0.409,0,0.409,1.08004535147,165.030,226.87,0.328,128.06,0.180,176.341,132.420,162.388,222.367,54.757,67.355
IsChloeKissingKenny,sp,sp,0,0.200,0,0.200,1.48911564626,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,16.008,20.493
IsCindyPullingBrandy,sp,sp,1,0.319,0,0.319,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,7.822,14.032
IsCindyPullingBrandy,IS,IS,2,0.140,0,0.140,0.331746031746,156.340,203.89,0.033,124.08,0.103,203.745,173.266,133.255,124.079,52.668,68.375
IsCindyPullingBrandy,sp,sp,1,0.110,0,0.110,0.471428571429,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,58.738,60.519
IsCindyPullingBrandy,TRACY,TRACY,5,0.279,0,0.279,0.581179138322,173.880,219.62,0.252,144.78,0.094,147.426,148.193,169.014,212.450,63.542,70.210
IsCindyPullingBrandy,PULLING,PULLING,5,0.359,0,0.359,0.860544217687,179.066,215.00,0.004,136.65,0.359,214.770,184.950,183.877,167.259,57.821,71.986
IsCindyPullingBrandy,BRANDY,BRANDY,6,0.419,0,0.419,1.21972789116,153.380,258.57,0.338,108.97,0.146,119.841,114.854,164.618,249.482,60.515,71.847
IsCindyPullingBrandy,sp,sp,0,0.160,0,0.160,1.6387755102,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,19.614,27.415
IsCindyPullingPenny,sp,sp,1,0.279,0,0.279,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,9.184,13.250
